embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
250, 5, wordnet, currency, 0.496679197995, 114
250, 5, wordnet, nationality-adjective, 0.552812439428, 136
250, 5, wordnet, comparative, 0.448208677027, 84
250, 5, wordnet, plural-verbs, 0.469163666966, 2482
250, 5, wordnet, Entails, 0.496121933622, 108
250, 5, wordnet, PartOf, 0.476044125754, 888
250, 5, wordnet, InstanceOf, 0.497175401259, 1084
250, 5, wordnet, plural-nouns, 0.464468848637, 5057
250, 5, wordnet, HasContext, 0.497337512504, 958
250, 5, wordnet, SimilarTo, 0.495713808674, 2045
250, 5, wordnet, RelatedTo, 0.495320186322, 93
250, 5, wordnet, past-tense, 0.473444776713, 2625
250, 5, wordnet, man-woman, 0.50217173944, 81
250, 5, wordnet, Antonym, 0.484733843087, 564
250, 5, wordnet, all-capital-cities, 0.39340194361, 121
250, 5, wordnet, city-in-state, 0.495383962674, 3118
250, 5, wordnet, DerivedFrom, 0.487082489964, 4190
250, 5, wordnet, Attribute, 0.487747109458, 148
250, 5, wordnet, adjective-to-adverb, 0.475105064111, 621
250, 5, wordnet, MadeOf, 0.487481103553, 42
250, 5, wordnet, IsA, 0.494201526393, 9259
250, 5, wordnet, Causes, 0.5, 26
300, 30, wordnet, present-participle, 0.473588921657, 1708
300, 30, wordnet, superlative, 0.408372485308, 52
300, 30, wordnet, MemberOf, 0.514757612501, 108
300, 30, wordnet, currency, 0.490376061754, 88
300, 30, wordnet, nationality-adjective, 0.618199020943, 123
300, 30, wordnet, comparative, 0.456328421122, 65
300, 30, wordnet, plural-verbs, 0.474908612794, 1639
300, 30, wordnet, Entails, 0.474968242234, 88
300, 30, wordnet, PartOf, 0.458884311644, 637
300, 30, wordnet, InstanceOf, 0.495516786787, 744
300, 30, wordnet, plural-nouns, 0.486594583176, 3131
300, 30, wordnet, HasContext, 0.491401553976, 676
300, 30, wordnet, SimilarTo, 0.485272515721, 1336
300, 30, wordnet, RelatedTo, 0.49275210084, 77
300, 30, wordnet, past-tense, 0.470187438835, 1601
300, 30, wordnet, man-woman, 0.531322805982, 55
300, 30, wordnet, Antonym, 0.474716189777, 382
